,ID,Sexo,Facultad a la que aplicó,Fue admitido
0,6f62fd5e-fbfc-11eb-9a96-8c8590480788,H,A,S
1,6f62fe30-fbfc-11eb-9a96-8c8590480788,H,A,S
2,6f62fe6c-fbfc-11eb-9a96-8c8590480788,H,A,S
3,6f62fe9e-fbfc-11eb-9a96-8c8590480788,H,A,S
4,6f62febc-fbfc-11eb-9a96-8c8590480788,H,A,S
5,6f62feee-fbfc-11eb-9a96-8c8590480788,H,A,S
6,6f62ff2a-fbfc-11eb-9a96-8c8590480788,H,A,S
7,6f62ff5c-fbfc-11eb-9a96-8c8590480788,H,A,S
8,6f62ff8e-fbfc-11eb-9a96-8c8590480788,H,A,S
9,6f63002e-fbfc-11eb-9a96-8c8590480788,H,A,S
10,6f63009c-fbfc-11eb-9a96-8c8590480788,H,A,S
11,6f6300d8-fbfc-11eb-9a96-8c8590480788,H,A,S
12,6f63010a-fbfc-11eb-9a96-8c8590480788,H,A,S
13,6f63013c-fbfc-11eb-9a96-8c8590480788,H,A,S
14,6f63016e-fbfc-11eb-9a96-8c8590480788,H,A,S
15,6f6301aa-fbfc-11eb-9a96-8c8590480788,H,A,S
16,6f6301dc-fbfc-11eb-9a96-8c8590480788,H,A,S
17,6f630218-fbfc-11eb-9a96-8c8590480788,H,A,S
18,6f63024a-fbfc-11eb-9a96-8c8590480788,H,A,S
19,6f630272-fbfc-11eb-9a96-8c8590480788,H,A,S
20,6f63029a-fbfc-11eb-9a96-8c8590480788,H,A,S
21,6f6302b8-fbfc-11eb-9a96-8c8590480788,H,A,S
22,6f6302e0-fbfc-11eb-9a96-8c8590480788,H,A,S
23,6f630308-fbfc-11eb-9a96-8c8590480788,H,A,S
24,6f630326-fbfc-11eb-9a96-8c8590480788,H,A,S
25,6f63034e-fbfc-11eb-9a96-8c8590480788,H,A,S
26,6f63036c-fbfc-11eb-9a96-8c8590480788,H,A,S
27,6f630394-fbfc-11eb-9a96-8c8590480788,H,A,S
28,6f6303b2-fbfc-11eb-9a96-8c8590480788,H,A,S
29,6f6303d0-fbfc-11eb-9a96-8c8590480788,H,A,S
30,6f6303ee-fbfc-11eb-9a96-8c8590480788,H,A,S
31,6f630416-fbfc-11eb-9a96-8c8590480788,H,A,S
32,6f630434-fbfc-11eb-9a96-8c8590480788,H,A,S
33,6f630452-fbfc-11eb-9a96-8c8590480788,H,A,S
34,6f63047a-fbfc-11eb-9a96-8c8590480788,H,A,S
35,6f630498-fbfc-11eb-9a96-8c8590480788,H,A,S
36,6f6304b6-fbfc-11eb-9a96-8c8590480788,H,A,S
37,6f6304de-fbfc-11eb-9a96-8c8590480788,H,A,S
38,6f6304fc-fbfc-11eb-9a96-8c8590480788,H,A,S
39,6f630524-fbfc-11eb-9a96-8c8590480788,H,A,S
40,6f630560-fbfc-11eb-9a96-8c8590480788,H,A,S
41,6f630592-fbfc-11eb-9a96-8c8590480788,H,A,S
42,6f6305ce-fbfc-11eb-9a96-8c8590480788,H,A,S
43,6f630614-fbfc-11eb-9a96-8c8590480788,H,A,S
44,6f630664-fbfc-11eb-9a96-8c8590480788,H,A,S
45,6f6306aa-fbfc-11eb-9a96-8c8590480788,H,A,S
46,6f6306dc-fbfc-11eb-9a96-8c8590480788,H,A,S
47,6f63072c-fbfc-11eb-9a96-8c8590480788,H,A,S
48,6f630768-fbfc-11eb-9a96-8c8590480788,H,A,S
49,6f6307a4-fbfc-11eb-9a96-8c8590480788,H,A,S
50,6f6307e0-fbfc-11eb-9a96-8c8590480788,H,A,S
51,6f63081c-fbfc-11eb-9a96-8c8590480788,H,A,S
52,6f63084e-fbfc-11eb-9a96-8c8590480788,H,A,S
53,6f630894-fbfc-11eb-9a96-8c8590480788,H,A,S
54,6f6308d0-fbfc-11eb-9a96-8c8590480788,H,A,S
55,6f63090c-fbfc-11eb-9a96-8c8590480788,H,A,S
56,6f630948-fbfc-11eb-9a96-8c8590480788,H,A,S
57,6f63097a-fbfc-11eb-9a96-8c8590480788,H,A,S
58,6f6309b6-fbfc-11eb-9a96-8c8590480788,H,A,S
59,6f6309f2-fbfc-11eb-9a96-8c8590480788,H,A,S
60,6f630a2e-fbfc-11eb-9a96-8c8590480788,H,A,S
61,6f630a56-fbfc-11eb-9a96-8c8590480788,H,A,S
62,6f630a92-fbfc-11eb-9a96-8c8590480788,H,A,S
63,6f630ac4-fbfc-11eb-9a96-8c8590480788,H,A,S
64,6f630af6-fbfc-11eb-9a96-8c8590480788,H,A,S
65,6f630b32-fbfc-11eb-9a96-8c8590480788,H,A,S
66,6f630c18-fbfc-11eb-9a96-8c8590480788,H,A,S
67,6f630c68-fbfc-11eb-9a96-8c8590480788,H,A,S
68,6f630ca4-fbfc-11eb-9a96-8c8590480788,H,A,S
69,6f630ce0-fbfc-11eb-9a96-8c8590480788,H,A,S
70,6f630d12-fbfc-11eb-9a96-8c8590480788,H,A,S
71,6f630d4e-fbfc-11eb-9a96-8c8590480788,H,A,S
72,6f630d8a-fbfc-11eb-9a96-8c8590480788,H,A,S
73,6f630dda-fbfc-11eb-9a96-8c8590480788,H,A,S
74,6f630e16-fbfc-11eb-9a96-8c8590480788,H,A,S
75,6f630e52-fbfc-11eb-9a96-8c8590480788,H,A,S
76,6f630e8e-fbfc-11eb-9a96-8c8590480788,H,A,S
77,6f630ed4-fbfc-11eb-9a96-8c8590480788,H,A,S
78,6f630f06-fbfc-11eb-9a96-8c8590480788,H,A,S
79,6f630f2e-fbfc-11eb-9a96-8c8590480788,H,A,S
80,6f630f4c-fbfc-11eb-9a96-8c8590480788,H,A,S
81,6f630f74-fbfc-11eb-9a96-8c8590480788,H,A,S
82,6f630f92-fbfc-11eb-9a96-8c8590480788,H,A,S
83,6f630fba-fbfc-11eb-9a96-8c8590480788,H,A,S
84,6f630fd8-fbfc-11eb-9a96-8c8590480788,H,A,S
85,6f631000-fbfc-11eb-9a96-8c8590480788,H,A,S
86,6f63101e-fbfc-11eb-9a96-8c8590480788,H,A,S
87,6f631046-fbfc-11eb-9a96-8c8590480788,H,A,S
88,6f631064-fbfc-11eb-9a96-8c8590480788,H,A,S
89,6f63108c-fbfc-11eb-9a96-8c8590480788,H,A,S
90,6f6310aa-fbfc-11eb-9a96-8c8590480788,H,A,S
91,6f6310d2-fbfc-11eb-9a96-8c8590480788,H,A,S
92,6f6310f0-fbfc-11eb-9a96-8c8590480788,H,A,S
93,6f63110e-fbfc-11eb-9a96-8c8590480788,H,A,S
94,6f631136-fbfc-11eb-9a96-8c8590480788,H,A,S
95,6f631154-fbfc-11eb-9a96-8c8590480788,H,A,S
96,6f63117c-fbfc-11eb-9a96-8c8590480788,H,A,S
97,6f63119a-fbfc-11eb-9a96-8c8590480788,H,A,S
98,6f6311c2-fbfc-11eb-9a96-8c8590480788,H,A,S
99,6f6311e0-fbfc-11eb-9a96-8c8590480788,H,A,S
100,6f631208-fbfc-11eb-9a96-8c8590480788,H,A,S
101,6f631244-fbfc-11eb-9a96-8c8590480788,H,A,S
102,6f6312e4-fbfc-11eb-9a96-8c8590480788,H,A,S
103,6f631320-fbfc-11eb-9a96-8c8590480788,H,A,S
104,6f631366-fbfc-11eb-9a96-8c8590480788,H,A,S
105,6f631398-fbfc-11eb-9a96-8c8590480788,H,A,S
106,6f6313c0-fbfc-11eb-9a96-8c8590480788,H,A,S
107,6f6313e8-fbfc-11eb-9a96-8c8590480788,H,A,S
108,6f631410-fbfc-11eb-9a96-8c8590480788,H,A,S
109,6f631438-fbfc-11eb-9a96-8c8590480788,H,A,S
110,6f631456-fbfc-11eb-9a96-8c8590480788,H,A,S
111,6f63147e-fbfc-11eb-9a96-8c8590480788,H,A,S
112,6f63149c-fbfc-11eb-9a96-8c8590480788,H,A,S
113,6f6314ba-fbfc-11eb-9a96-8c8590480788,H,A,S
114,6f6314e2-fbfc-11eb-9a96-8c8590480788,H,A,S
115,6f631500-fbfc-11eb-9a96-8c8590480788,H,A,S
116,6f63151e-fbfc-11eb-9a96-8c8590480788,H,A,S
117,6f631546-fbfc-11eb-9a96-8c8590480788,H,A,S
118,6f631564-fbfc-11eb-9a96-8c8590480788,H,A,S
119,6f63158c-fbfc-11eb-9a96-8c8590480788,H,A,S
120,6f6315aa-fbfc-11eb-9a96-8c8590480788,H,A,S
121,6f6315c8-fbfc-11eb-9a96-8c8590480788,H,A,S
122,6f6315f0-fbfc-11eb-9a96-8c8590480788,H,A,S
123,6f63160e-fbfc-11eb-9a96-8c8590480788,H,A,S
124,6f63162c-fbfc-11eb-9a96-8c8590480788,H,A,S
125,6f631654-fbfc-11eb-9a96-8c8590480788,H,A,S
126,6f631672-fbfc-11eb-9a96-8c8590480788,H,A,S
127,6f6316a4-fbfc-11eb-9a96-8c8590480788,H,A,S
128,6f6316c2-fbfc-11eb-9a96-8c8590480788,H,A,S
129,6f6316fe-fbfc-11eb-9a96-8c8590480788,H,A,S
130,6f631744-fbfc-11eb-9a96-8c8590480788,H,A,S
131,6f631776-fbfc-11eb-9a96-8c8590480788,H,A,S
132,6f631802-fbfc-11eb-9a96-8c8590480788,H,A,S
133,6f631848-fbfc-11eb-9a96-8c8590480788,H,A,S
134,6f631884-fbfc-11eb-9a96-8c8590480788,H,A,S
135,6f6318ca-fbfc-11eb-9a96-8c8590480788,H,A,S
136,6f6318fc-fbfc-11eb-9a96-8c8590480788,H,A,S
137,6f63191a-fbfc-11eb-9a96-8c8590480788,H,A,S
138,6f631938-fbfc-11eb-9a96-8c8590480788,H,A,S
139,6f631960-fbfc-11eb-9a96-8c8590480788,H,A,S
140,6f63197e-fbfc-11eb-9a96-8c8590480788,H,A,S
141,6f63199c-fbfc-11eb-9a96-8c8590480788,H,A,S
142,6f6319c4-fbfc-11eb-9a96-8c8590480788,H,A,S
143,6f6319e2-fbfc-11eb-9a96-8c8590480788,H,A,S
144,6f631a00-fbfc-11eb-9a96-8c8590480788,H,A,S
145,6f631a28-fbfc-11eb-9a96-8c8590480788,H,A,S
146,6f631a46-fbfc-11eb-9a96-8c8590480788,H,A,S
147,6f631a6e-fbfc-11eb-9a96-8c8590480788,H,A,S
148,6f631a8c-fbfc-11eb-9a96-8c8590480788,H,A,S
149,6f631ab4-fbfc-11eb-9a96-8c8590480788,H,A,S
150,6f631ad2-fbfc-11eb-9a96-8c8590480788,H,A,S
151,6f631afa-fbfc-11eb-9a96-8c8590480788,H,A,S
152,6f631b18-fbfc-11eb-9a96-8c8590480788,H,A,S
153,6f631b36-fbfc-11eb-9a96-8c8590480788,H,A,S
154,6f631b5e-fbfc-11eb-9a96-8c8590480788,H,A,S
155,6f631b7c-fbfc-11eb-9a96-8c8590480788,H,A,S
156,6f631ba4-fbfc-11eb-9a96-8c8590480788,H,A,S
157,6f631bc2-fbfc-11eb-9a96-8c8590480788,H,A,S
158,6f631be0-fbfc-11eb-9a96-8c8590480788,H,A,S
159,6f631c08-fbfc-11eb-9a96-8c8590480788,H,A,S
160,6f631c26-fbfc-11eb-9a96-8c8590480788,H,A,S
